iter	Passed	Remaining
0	33	6721
1	74	7404
2	111	7305
3	151	7401
4	187	7308
5	227	7357
6	257	7094
7	300	7215
8	338	7189
9	373	7089
10	403	6936
11	452	7086
12	486	7000
13	519	6906
14	556	6860
15	586	6741
16	621	6687
17	668	6762
18	703	6702
19	736	6631
20	762	6500
21	791	6402
22	816	6284
23	842	6178
24	866	6062
25	894	5989
26	925	5929
27	942	5792
28	965	5690
29	991	5618
30	1026	5598
31	1056	5545
32	1092	5530
33	1159	5660
34	1206	5685
35	1227	5591
36	1259	5547
37	1311	5592
38	1357	5602
39	1403	5612
40	1440	5584
41	1468	5524
42	1491	5443
43	1539	5457
44	1573	5420
45	1599	5353
46	1619	5273
47	1651	5229
48	1670	5148
49	1688	5065
50	1699	4966
51	1739	4951
52	1754	4866
53	1767	4778
54	1781	4695
55	1791	4607
56	1807	4533
57	1824	4467
58	1838	4394
59	1855	4330
60	1869	4259
61	1886	4199
62	1913	4160
63	1922	4085
64	1934	4017
65	1948	3955
66	1965	3902
67	1981	3846
68	1994	3786
69	2002	3718
70	2015	3662
71	2025	3600
72	2035	3540
73	2046	3484
74	2055	3426
75	2066	3371
76	2077	3318
77	2085	3262
78	2098	3213
79	2108	3162
80	2116	3109
81	2126	3060
82	2134	3009
83	2147	2966
84	2158	2919
85	2165	2870
86	2176	2826
87	2185	2781
88	2198	2741
89	2210	2701
90	2223	2663
91	2237	2626
92	2248	2587
93	2258	2546
94	2277	2516
95	2290	2480
96	2312	2455
97	2335	2431
98	2357	2405
99	2376	2376
100	2390	2343
101	2407	2312
102	2426	2285
103	2454	2265
104	2466	2231
105	2490	2208
106	2505	2177
107	2517	2144
108	2540	2120
109	2553	2089
110	2567	2058
111	2578	2025
112	2590	1994
113	2600	1962
114	2613	1931
115	2626	1902
116	2644	1875
117	2660	1848
118	2675	1821
119	2695	1796
120	2716	1773
121	2732	1747
122	2750	1721
123	2771	1698
124	2798	1679
125	2816	1654
126	2839	1632
127	2861	1609
128	2877	1583
129	2891	1557
130	2907	1531
131	2917	1502
132	2933	1477
133	2942	1449
134	2951	1421
135	2963	1394
136	2973	1367
137	2983	1340
138	2994	1314
139	3002	1286
140	3012	1260
141	3022	1234
142	3031	1208
143	3040	1182
144	3048	1156
145	3058	1131
146	3066	1105
147	3074	1080
148	3083	1055
149	3094	1031
150	3102	1006
151	3111	982
152	3121	958
153	3129	934
154	3139	911
155	3146	887
156	3156	864
157	3164	841
158	3173	818
159	3181	795
160	3192	773
161	3200	750
162	3209	728
163	3219	706
164	3227	684
165	3236	662
166	3244	641
167	3254	619
168	3262	598
169	3272	577
170	3282	556
171	3290	535
172	3299	514
173	3307	494
174	3318	474
175	3326	453
176	3335	433
177	3343	413
178	3355	393
179	3364	373
180	3372	354
181	3382	334
182	3390	314
183	3400	295
184	3407	276
185	3417	257
186	3425	238
187	3435	219
188	3442	200
189	3452	181
190	3461	163
191	3469	144
192	3478	126
193	3485	107
194	3495	89
195	3502	71
196	3510	53
197	3517	35
198	3525	17
199	3533	0
9	3933	0
	83
198	8296	41
199	8312	0
0
	9202	46
199	9248	0
