iter	Logloss
0	0.6057180882
1	0.5413534745
2	0.4935000908
3	0.446317374
4	0.4140971741
5	0.3828740879
6	0.3695348081
7	0.3526625261
8	0.3368662478
9	0.3273483811
10	0.3193745192
11	0.3095371947
12	0.3016617101
13	0.2967533452
14	0.289158547
15	0.2838844293
16	0.2793632385
17	0.2738809493
18	0.2708190772
19	0.2660834144
20	0.2635102455
21	0.2604128064
22	0.2574715351
23	0.2542537533
24	0.2514771044
25	0.2482797633
26	0.246576855
27	0.245754556
28	0.2438552238
29	0.2422586293
30	0.2396653799
31	0.2389595936
32	0.2379839279
33	0.2360812372
34	0.2342929318
35	0.2328519818
36	0.2304537211
37	0.2282474525
38	0.226563636
39	0.2245608986
40	0.2229949594
41	0.2220119059
42	0.2196952394
43	0.2186651458
44	0.2152863893
45	0.2133866383
46	0.2123807185
47	0.2116215321
48	0.2092364825
49	0.2085738871
50	0.207973653
51	0.2076394929
52	0.2065855332
53	0.204922797
54	0.2044253017
55	0.2041741083
56	0.2039931015
57	0.2027298325
58	0.2020876843
59	0.1987868615
60	0.1972161685
61	0.1962783721
62	0.1954741101
63	0.194671838
64	0.1939425338
65	0.1930242027
66	0.1922278703
67	0.1921019083
68	0.1901923746
69	0.1890363009
70	0.1886921627
71	0.1879795423
72	0.1865403734
73	0.1848371468
74	0.184172325
75	0.1833674036
76	0.1831519851
77	0.1819881467
78	0.1809595079
79	0.1807270682
80	0.1804549957
81	0.1795013548
82	0.1793200621
83	0.1779848516
84	0.1768637061
85	0.1767247279
86	0.1752157271
87	0.1740690765
88	0.1727869396
89	0.1719519701
90	0.1714050856
91	0.169342152
92	0.1681730748
93	0.1678703902
94	0.166809546
95	0.1651959884
96	0.165123612
97	0.1637258994
98	0.1635093172
99	0.1616544097
100	0.1604523292
101	0.1603095059
102	0.1594400643
103	0.157506068
104	0.1563389305
105	0.1561394652
106	0.1554669401
107	0.1550684258
108	0.1534191081
109	0.1533050805
110	0.1523392233
111	0.1511233379
112	0.1503953524
113	0.1496288665
114	0.1492502133
115	0.1478315476
116	0.1467982948
117	0.1466941288
118	0.1452333048
119	0.144244107
120	0.1430507905
121	0.1424856623
122	0.1423513628
123	0.1422535927
124	0.1411427676
125	0.1396504737
126	0.1392082705
127	0.1384685359
128	0.1370074987
129	0.1369396045
130	0.1361469003
131	0.1352742066
132	0.1343220992
133	0.1331802612
134	0.1320750508
135	0.1309702995
136	0.1308656906
137	0.1296987708
138	0.1282373611
139	0.1271127673
140	0.1259853896
141	0.1259319283
142	0.1250439902
143	0.1243692157
144	0.1237226379
145	0.1227042406
146	0.1213886698
147	0.1213270495
148	0.1200110123
149	0.1195142761
150	0.1183620486
151	0.1172549013
152	0.11618407421153	0.1152411724
154	0.1151936877
155	0.1146490864
156	0.1138619077
157	0.1130251439
158	0.1120589126
159	0.1112925264
160	0.109880184
161	0.1089029267
162	0.1080348528
163	0.1074540993
164	0.1069731141
165	0.1060672538
166	0.105549179
167	0.1051995059
168	0.1042782794
169	0.1036371265
170	0.1025955151
171	0.1016173885
172	0.1013197176
173	0.1012079197
174	0.1004629162
175	0.09954353777
176	0.09891354716
177	0.09860798127
178	0.09858396763
179	0.09769587008
180	0.09715888473
181	0.09655941337
182	0.09580751231
183	0.09528267288
184	0.09403507141
185	0.09373246078
186	0.09364233108
187	0.09346625633
188	0.09297863445
189	0.09235997736
190	0.09150986828
191	0.09063648331
192	0.09058340341
193	0.09013719618
194	0.08968542307
195	0.08898577787
196	0.08880831327
197	0.08868707326
198	0.088201365
199	0.08718569663
53
199	0.07507701854
199	0.063198	0.04118608483
199	0.04104945733
02675020707
199	0.02633947007
5
199	0.01630844741
