iter	Logloss
0	0.6761207539
1	0.6565645962
2	0.6408601725
3	0.624623887
4	0.6064513688
5	0.5927992033
6	0.5793152485
7	0.5673509497
8	0.5539689485
9	0.5411281807
10	0.5314021321
11	0.5213375895
12	0.5101432882
13	0.5008981379
14	0.4923851353
15	0.4843130545
16	0.4747168531
17	0.4660284623
18	0.4594965724
19	0.4522000534
20	0.4438780808
21	0.4372539707
22	0.428758736
23	0.4214719037
24	0.4157575529
25	0.4100752089
26	0.4043980015
27	0.3989161773
28	0.3932881934
29	0.3894053083
30	0.3852770788
31	0.3807649443
32	0.3764944456
33	0.372604914
34	0.3674985358
35	0.3640833937
36	0.3604020157
37	0.3570010239
38	0.3527287404
39	0.3491797659
40	0.3459476298
41	0.3434526064
42	0.3411523511
43	0.3389309556
44	0.3358905509
45	0.3325838938
46	0.3310410406
47	0.3286070379
48	0.3264012835
49	0.3242219868
50	0.321733289
51	0.3198056083
52	0.3174404717
53	0.3148084702
54	0.3126287675
55	0.3108810163
56	0.3095244473
57	0.3084254719
58	0.3072373435
59	0.3052044173
60	0.3034952592
61	0.3015562217
62	0.3005632642
63	0.2997482774
64	0.2984542175
65	0.2970244102
66	0.2956809937
67	0.294301316
68	0.2930651069
69	0.2921664054
70	0.2910703615
71	0.2894864183
72	0.2884302786
73	0.2872321122
74	0.2858012776
75	0.2850062952
76	0.283948466
77	0.2828632093
78	0.2819495062
79	0.2809675245
80	0.2800541336
81	0.2789777941
82	0.2780738237
83	0.2773444973
84	0.2768890321
85	0.2762097472
86	0.2751289759
87	0.2742622837
88	0.2732865813
89	0.2728554898
90	0.2720310003
91	0.2713158513
92	0.2706010532
93	0.2700779601
94	0.2693246355
95	0.2687769799
96	0.2682715281
97	0.2674830428
98	0.2670707673
99	0.2666865601
100	0.2658830997
101	0.2653174979
102	0.2647210419
103	0.2641635852
104	0.2635777579
105	0.2629165154
106	0.2622458703
107	0.2616993595
108	0.2609178722
109	0.2603773944
110	0.2597905089
111	0.2593533476
112	0.2589548535
113	0.2582669655
114	0.2578584703
115	0.2574209423
116	0.2569222925
117	0.256645447
118	0.2560697087
119	0.2556709302
120	0.2552225564
121	0.2548793218
122	0.2545921634
123	0.2540800647
124	0.2536382363
125	0.2531970639
126	0.2527685812
127	0.2523994728
128	0.2519414855
129	0.2517509164
130	0.2515399518
131	0.2512198613
132	0.2507583675
133	0.2504302577
134	0.2500177512
135	0.2498365637
136	0.2493127488
137	0.2491040315
138	0.2489006718
139	0.2485800217
140	0.2481750408
141	0.2480288919
142	0.2476473711
143	0.2474155736
144	0.2470986689
145	0.2465851591
146	0.2461603216
147	0.2458313335
148	0.2455977141
149	0.2450745359
150	0.2448723281
151	0.2447151025
152	0.2443885316
153	0.2441773489
154	0.2440084759
155	0.2436090503
156	0.2432408304
157	0.2428653164
158	0.2426364441
159	0.2422558931
160	0.2420386925
161	0.2418461331
162	0.2416194789
163	0.2413381637
164	0.2411350633
165	0.2409483091
166	0.2407211773
167	0.2404048239
168	0.2399082101
169	0.2396336936
170	0.2392884074
171	0.2391446129
172	0.2387303299
173	0.238551899
174	0.2381487355
175	0.2380113542
176	0.2377667336
177	0.2375656684
178	0.23730072
179	0.2368538036
180	0.2366618675
181	0.2364284907
182	0.2361969369
183	0.2358104644
184	0.2355151739
185	0.2354015575
186	0.2350510047
187	0.2347498438
188	0.2344588571
189	0.234124189
190	0.2340215737
191	0.2338494756
192	0.233668165
193	0.2333694527
194	0.2333371969
195	0.2330126033
196	0.2327946741
197	0.2324915058
198	0.2323929622
199	0.2320946851
200	0.2318841408
201	0.231802114
202	0.2314532422
203	0.2312364905
204	0.2310175289
205	0.2307564856
206	0.2304686493
207	0.2303169335
208	0.2301744392
209	0.2298322064
210	0.2297141414
211	0.2295398658
212	0.2294680942
213	0.2292352718
214	0.2290882038
215	0.228785926
216	0.2286490512
217	0.228452774
218	0.2282394327
219	0.2278019859
220	0.2275449033
221	0.2273192817
222	0.227072269
223	0.2267239558
224	0.2264954447
225	0.2263026695
226	0.2261437198
227	0.226008447
228	0.2258838402
229	0.2256716497
230	0.225506664
231	0.2252251922
232	0.2248626215
233	0.2245640663
234	0.2242211823
235	0.2240896281
236	0.2237284745
237	0.2235197499
238	0.2233767132
239	0.223082537
240	0.2228231999
241	0.2226829453
242	0.2225435785
243	0.2224461841
244	0.2223416067
245	0.2221342423
246	0.2221056089
247	0.221893852
248	0.2216703647
249	0.2214450834
250	0.2212951196
251	0.2211852737
252	0.221084316
253	0.2209836495
254	0.220885493
255	0.2207096014
256	0.2205459041
257	0.2205275136
258	0.22039612
259	0.2201776693
260	0.2199733471
261	0.2197947365
262	0.21964885
263	0.2194812326
264	0.2192550473
265	0.2190244789
266	0.2188733918
267	0.2187541919
268	0.2186967102
269	0.218612919
270	0.2185036882
271	0.2183509356
272	0.2181224271
273	0.2179450998
274	0.2179082348
275	0.2177776152
276	0.2175355922
277	0.217463386
278	0.2174030477
279	0.2171918685
280	0.2170745217
281	0.2170138683
282	0.2169244851
283	0.2167060005
284	0.216497682
285	0.2164678306
286	0.2163080876
287	0.2162457902
288	0.2160347488
289	0.2159065824
290	0.2156443186
291	0.2153137675
292	0.2151067428
293	0.2148465146
294	0.2147407922
295	0.2145324719
296	0.214459368
297	0.2142733196
298	0.2142351199
299	0.2139630215
300	0.2137316559
301	0.2134605846
302	0.2132009513
303	0.2131342315
304	0.2130215182
305	0.2129545924
306	0.2129021895
307	0.2128320086
308	0.2125882638
309	0.2123012586
310	0.2122276165
311	0.2121252675
312	0.2119183616
313	0.2117848872
314	0.2114976072
315	0.2113843939
316	0.2111248424
317	0.2108458925
318	0.2105591977
319	0.2103879305
320	0.2102580878
321	0.2101215511
322	0.2096257815
323	0.209454082
324	0.2093666651
325	0.2091785898
326	0.2091574635
327	0.2089084472
328	0.2088256391
329	0.2087505971
330	0.2085378045
331	0.2084306595
332	0.2082306368
333	0.2080697432
334	0.208012805
335	0.2077792613
336	0.2076649261
337	0.2073967027
338	0.2073682593
339	0.2071571447
340	0.2071076217
341	0.2068911617
342	0.2067277613
343	0.2066240805
344	0.2065590503
345	0.206391823
346	0.206225625
347	0.2061293074
348	0.2060675287
349	0.2059192339
350	0.2057528693
351	0.2056879757
352	0.2055469674
353	0.2054230391
354	0.2052265526
355	0.2052019776
356	0.2051616749
357	0.2049881662
358	0.2048606633
359	0.2046059231
360	0.2044982928
361	0.2041440022
362	0.2039738455
363	0.203860492
364	0.203705229
365	0.2036805989
366	0.2035773052
367	0.2034885682
368	0.203463018
369	0.2032171134
370	0.2030194976
371	0.2028029608
372	0.2027717552
373	0.2027422255
374	0.2025801903
375	0.2025110167
376	0.2023650775
377	0.2019086554
378	0.2018827306
379	0.201756349
380	0.2015269725
381	0.201469761
382	0.2014480067
383	0.2014020641
384	0.2012739676
385	0.2011634714
386	0.2009040057
387	0.2006655883
388	0.2004644571
389	0.2003902924
390	0.2002699205
391	0.2000576496
392	0.1998569961
393	0.1997194627
394	0.1996220434
395	0.1994494398
396	0.1992523238
397	0.1992349934
398	0.1991616349
399	0.1990624701
400	0.1990095653
401	0.1989572352
402	0.1986020216
403	0.19842502
404	0.1983635735
405	0.1983025289
406	0.1982239659
407	0.1978777309
408	0.1977739694
409	0.1975592646
410	0.1972534677
411	0.197238902
412	0.1968442303
413	0.1966715654
414	0.1965852827
415	0.1964762031
416	0.1963996357
417	0.1963811675
418	0.1961515348
419	0.1961039418
420	0.1959396443
421	0.1957387912
422	0.1955605199
423	0.1952495504
424	0.1951090144
425	0.1948321516
426	0.1945821629
427	0.1944559879
428	0.1943537071
429	0.1941547539
430	0.193965662
