iter	Logloss
0	0.6805028103
1	0.6685634952
2	0.6590038031
3	0.6481423605
4	0.6379171989
5	0.6301684836
6	0.6201305279
7	0.6112834266
8	0.6020817223
9	0.5946077521
10	0.5862575863
11	0.5785060634
12	0.5709655553
13	0.5644634472
14	0.5590955696
15	0.5537179363
16	0.5470676429
17	0.5411169682
18	0.5360794928
19	0.5301951587
20	0.5258615047
21	0.5216186315
22	0.5167517497
23	0.5131168196
24	0.5081965683
25	0.5050497767
26	0.5011497052
27	0.497511029
28	0.4931003236
29	0.4894625739
30	0.4869963241
31	0.4840903654
32	0.4813249115
33	0.4791813713
34	0.4761155333
35	0.4741654345
36	0.4715896194
37	0.4684736776
38	0.4661533984
39	0.4635208633
40	0.4605462611
41	0.4584652949
42	0.4556227938
43	0.4529306662
44	0.4502111209
45	0.4481457729
46	0.4464602325
47	0.4444286676
48	0.4424466885
49	0.4405906008
50	0.4391470193
51	0.437137385
52	0.4354920488
53	0.4337169482
54	0.4318333984
55	0.4299502528
56	0.4283638532
57	0.427230793
58	0.4251810157
59	0.4239630972
60	0.4225687518
61	0.4210827873
62	0.419558934
63	0.4181843065
64	0.4166266477
65	0.4155044522
66	0.4140892581
67	0.4128694713
68	0.4116416711
69	0.410726119
70	0.409639626
71	0.4087184654
72	0.4077894497
73	0.406549617
74	0.4054849766
75	0.404356493
76	0.4037578704
77	0.4026168281
78	0.4019555361
79	0.4012256922
80	0.4002372327
81	0.3993446437
82	0.3984553202
83	0.3974925896
84	0.3967624009
85	0.3960597683
86	0.3951382427
87	0.3944433324
88	0.3936405885
89	0.393018717
90	0.3924058629
91	0.3917329004
92	0.3911052872
93	0.3905081317
94	0.390052818
95	0.389315903
96	0.3884702228
97	0.3877267528
98	0.3869851233
99	0.3862743989
100	0.385709706
101	0.385138883
102	0.384374366
103	0.3837424043
104	0.3830470455
105	0.3823885714
106	0.3815660494
107	0.381026028
108	0.3805686724
109	0.3800119187
110	0.3793234411
111	0.3784227373
112	0.3776822094
113	0.376917629
114	0.3763953102
115	0.3759066166
116	0.3750914616
117	0.3745486286
118	0.3738569327
119	0.3731328046
120	0.3724253839
121	0.3719345381
