iter	Logloss
0	0.6616975912
1	0.6333252697
2	0.6061402299
3	0.5811981718
4	0.5603768735
5	0.5424714065
6	0.5299826499
7	0.5167642033
8	0.5012351685
9	0.4917304904
10	0.48245019
11	0.4727254725
12	0.4623448245
13	0.4539348463
14	0.4461963926
15	0.4402107104
16	0.4314221458
17	0.4251672779
18	0.4213590357
19	0.4170638856
20	0.4118938506
21	0.4075799122
22	0.4041567756
23	0.3996651696
24	0.3956200959
25	0.391943031
26	0.387048388
27	0.3843867505
28	0.3807209354
29	0.3767703053
30	0.3748778606
31	0.3721619574
32	0.368778279
33	0.3651492355
34	0.3626342583
35	0.3606587409
36	0.3588575667
37	0.3564749298
38	0.3528099516
39	0.3515949929
40	0.3496328268
41	0.3472473603
42	0.3451784252
43	0.3436027881
44	0.3419576986
45	0.3402622266
46	0.3377808128
47	0.3365905977
48	0.3353466749
49	0.3336335138
50	0.3321731602
51	0.3310803377
52	0.3297691741
53	0.3288407707
54	0.3278089779
55	0.3262046887
56	0.3250491561
57	0.3235080555
58	0.3219629531
59	0.3197254219
60	0.318618122
61	0.3175633549
62	0.3163504385
63	0.3153866848
64	0.3136335605
65	0.3118383995
66	0.3106742534
67	0.3100300622
68	0.3086129759
69	0.3074161132
70	0.3062516928
71	0.3051980505
72	0.3041335434
73	0.3033065373
74	0.3023377165
75	0.3009534314
76	0.3001926198
77	0.2986558372
78	0.2972768547
79	0.2963708379
80	0.2946578821
81	0.2936650267
82	0.2924911907
83	0.2916920603
84	0.2909339838
85	0.2904454978
86	0.2892640825
87	0.2884944606
88	0.2881394089
89	0.2872983131
90	0.2869648727
91	0.286387588
92	0.2850910313
93	0.2842263659
94	0.2833002866
95	0.2818348486
96	0.2811964153
97	0.2806791922
98	0.279711136
99	0.2780490962
100	0.2774872219
101	0.2766116228
102	0.2759209026
103	0.275538916
104	0.2744169359
105	0.2736845919
106	0.2730891938
107	0.2723002368
108	0.2713757809
109	0.2703446183
110	0.2701497905
111	0.2693482954
112	0.2688634345
113	0.2680062648
114	0.2674671244
115	0.2670240172
116	0.2662536073
117	0.2654603747
118	0.2646956176
119	0.2636420849
120	0.2622434054
121	0.2612751656
122	0.2602656357
123	0.2594369119
124	0.2587331054
125	0.2581633257
126	0.2575291762
127	0.2563306224
128	0.2557822657
129	0.2545641999
130	0.2540080648
131	0.2532874701
132	0.2519182671
133	0.2511087933
134	0.2506655866
135	0.250056596
136	0.2493774277
137	0.2488087369
138	0.2484844708
139	0.2479299961
140	0.2471735605
141	0.2460383147
142	0.2451463247
143	0.24440623
144	0.2436090902
145	0.2427625476
146	0.2423380553
147	0.241173834
148	0.24093643
149	0.2404943365
150	0.2400254915
151	0.2390618165
152	0.23866059
153	0.2379674631
154	0.2368404851
155	0.2357341271
156	0.2353594738
157	0.2339963493
158	0.2330700302
159	0.2322196078
160	0.2317384452
161	0.2313694814
162	0.2310042835
163	0.2304714329
164	0.2290785601
165	0.2282028381
166	0.2277009526
167	0.2267101887
168	0.2260780338
169	0.2252169348
170	0.2242016611
171	0.2236086337
172	0.2226430471
173	0.2216326669
174	0.2209729159
175	0.2196326771
176	0.2192019683
177	0.218164445
178	0.2173566039
179	0.2168141046
180	0.2163741737
181	0.2154858503
182	0.214976719
183	0.2140492509
184	0.2133795906
185	0.2126106797
186	0.2123283524
187	0.2119115841
188	0.2114856031
189	0.2110016744
190	0.2101571524
191	0.2096722363
192	0.2089945807
193	0.208257714
194	0.2068604138
195	0.2062335901
196	0.2054628098
197	0.2047106946
198	0.203886173
199	0.2031259363
8291

7054401232
199	0.07040762992
