iter	Logloss
0	0.6108119966
1	0.5420254443
2	0.5021499704
3	0.4545889517
4	0.4294879585
5	0.4092739708
6	0.3908591166
7	0.3717426764
8	0.3569415576
9	0.3449970118
10	0.3376400777
11	0.3295194292
12	0.3245736179
13	0.3195558493
14	0.3137920957
15	0.3092956698
16	0.306539185
17	0.3033246872
18	0.2992229969
19	0.2963714087
20	0.2932694652
21	0.2908455692
22	0.288489693
23	0.2865721512
24	0.284133982
25	0.2825364815
26	0.2798517245
27	0.278225385
28	0.2762842175
29	0.2752740948
30	0.2735610111
31	0.2718808362
32	0.2699964954
33	0.2689258446
34	0.2668517791
35	0.2648532758
36	0.2627326841
37	0.2611934291
38	0.2599215869
39	0.2589596436
40	0.2575709932
41	0.2559751207
42	0.2553152103
43	0.2546994007
44	0.2541342087
45	0.2532482129
46	0.2519761655
47	0.2500957252
48	0.2492745705
49	0.2477468891
50	0.2475103279
51	0.2468712228
52	0.2458519895
53	0.2450693207
54	0.2439012543
55	0.2434702049
56	0.2418760657
57	0.2406905438
58	0.2394725303
59	0.2390251433
60	0.2379967672
61	0.2363207705
62	0.2352709569
63	0.2343303558
64	0.2334151637
65	0.2329678423
66	0.2322900308
67	0.2311379027
68	0.2297310053
69	0.2285049622
70	0.2275318495
71	0.2268086231
72	0.2261865287
73	0.2252470429
74	0.2247231307
75	0.2241884937
76	0.2237202926
77	0.2225733476
78	0.2213824612
79	0.2196409699
80	0.2191274314
81	0.2183292795
82	0.2173467316
83	0.2166610446
84	0.2156682801
85	0.2146447777
86	0.2143412936
87	0.2138078847
88	0.2127476665
89	0.2123550342
90	0.2118665676
91	0.2111721109
92	0.2107381915
93	0.2096868059
94	0.2083042654
95	0.2072633048
96	0.2068566807
97	0.2061889592
98	0.2046361778
99	0.2041447868
100	0.2035997116
101	0.2019121807
102	0.2005513714
103	0.1996156925
104	0.1991898754
105	0.1987850073
106	0.1978792802
107	0.1968877039
108	0.1963125666
109	0.1956190649
110	0.1946474506
111	0.1944992738
112	0.1934628411
113	0.1926090598
114	0.1910032216
115	0.1904190007
116	0.1895118083
117	0.1890278647
118	0.1881111815
119	0.1873132931
120	0.186523562
121	0.1854703096
122	0.1853094804
123	0.1838944637
124	0.1832360333
125	0.1822526043
126	0.1813230592
127	0.1806238311
128	0.1802653239
129	0.1797165491
130	0.1791195031
131	0.1779606364
132	0.1773841452
133	0.176551154
134	0.1755176056
135	0.175109833
136	0.1744039752
137	0.1735804592
138	0.1728183054
139	0.1723462739
140	0.172205897
141	0.171095015
142	0.1701927301
143	0.1693971135
144	0.1693090127
145	0.1684332903
146	0.1679192911
147	0.1674839562
148	0.1671152039
149	0.1668482071
150	0.1660844114
151	0.1656419992
152	0.164731635
153	0.1641256702
154	0.163176472
155	0.1622732022
156	0.1620128184
157	0.1615794425
158	0.1611404039
159	0.1604496756
160	0.1601447491
161	0.1594599871
162	0.1587069069
163	0.1580030327
164	0.1570419261
165	0.1565786377
166	0.1561315469
167	0.1556411878
168	0.154990212
169	0.154433247
170	0.153792002
171	0.153217815
172	0.1525602906
173	0.1521802727
174	0.1513796142
175	0.1504708033
176	0.1496484571
177	0.1489994616
178	0.1484073034
179	0.1475463953
180	0.146525321
181	0.1458579269
182	0.1452987904
183	0.1447919082
184	0.1441153378
185	0.1439397204
186	0.1432295623
187	0.1428619176
188	0.1418706771
189	0.141080822
190	0.1406114704
191	0.1397662612
192	0.1390949798
193	0.1384298572
194	0.1380637098
195	0.1374681925
196	0.1370059325
197	0.1365135383
198	0.1357866387
199	0.1350043724
0.04263096054
196	0.04221057548
197	0.04191883815
198	0.04167941028
199	0.04129309547
