iter	Logloss
0	0.6754242288
1	0.6557422932
2	0.6375265337
3	0.6198401434
4	0.6061725071
5	0.5915145785
6	0.5774392472
7	0.5658167121
8	0.5523639698
9	0.5392076165
10	0.5285789078
11	0.5165772266
12	0.5079354132
13	0.499539128
14	0.4893469462
15	0.4814860023
16	0.4721972093
17	0.4633377567
18	0.4555722912
19	0.4475698842
20	0.4419077437
21	0.4342007691
22	0.4284446626
23	0.4211329786
24	0.4155809221
25	0.4099537759
26	0.4039570233
27	0.3995844209
28	0.3954859344
29	0.3903494886
30	0.3864521401
31	0.3818319759
32	0.3779709718
33	0.3731181328
34	0.3687795591
35	0.3653092753
36	0.3625853676
37	0.3582521444
38	0.3553023165
39	0.3526988988
40	0.3494547612
41	0.3461137797
42	0.3434795097
43	0.3415098423
44	0.3387867627
45	0.3362146658
46	0.3335611306
47	0.3316295438
48	0.3287143657
49	0.3266120297
50	0.3251598893
51	0.3234585177
52	0.3212398444
53	0.3195249222
54	0.3180608618
55	0.3164663074
56	0.3142984398
57	0.3122276915
58	0.3102785205
59	0.3085247562
60	0.307260821
61	0.305919141
62	0.3047953779
63	0.303895616
64	0.3030595794
65	0.3020519375
66	0.3010428875
67	0.2994119654
68	0.2983428501
69	0.2971719844
70	0.2961845528
71	0.2950359966
72	0.2941582929
73	0.2930193169
74	0.2921175061
75	0.2914146967
76	0.290663733
77	0.2892940376
78	0.2883254041
79	0.2878368269
80	0.2871038049
81	0.286081963
82	0.2851535336
83	0.2841938654
84	0.2835427988
85	0.2824602475
86	0.2814354201
87	0.2807863049
88	0.2799923857
89	0.2794156998
90	0.2787104469
91	0.2780890848
92	0.2773451511
93	0.276905522
94	0.2761579187
95	0.2755482079
96	0.2748309123
97	0.2742371425
98	0.273771061
99	0.2732162394
100	0.2724993699
101	0.2718103599
102	0.2709133739
103	0.2704536949
104	0.2696870313
105	0.2692475317
106	0.2688538522
107	0.2683109256
108	0.2677465827
109	0.2671681738
110	0.2668500559
111	0.2662593152
112	0.265787399
113	0.2654340818
114	0.2648684541
115	0.2643173503
116	0.2637963024
117	0.2633838169
118	0.2629533917
119	0.2626066414
120	0.2619296884
121	0.2615538729
122	0.2608194073
123	0.260422864
124	0.2598129326
125	0.2595736358
126	0.2589873105
127	0.258680671
128	0.2582479065
129	0.2578777687
130	0.2574734746
131	0.2569415828
132	0.256580503
133	0.2564073379
134	0.256061472
135	0.2556021031
136	0.2551397303
137	0.2546416428
138	0.254300176
139	0.2539874256
140	0.2535551451
141	0.2531571215
142	0.2528953123
143	0.2525204457
144	0.2522864084
145	0.2520679427
146	0.2518656598
147	0.2515967507
148	0.2511689363
149	0.2509398523
150	0.2506127535
151	0.250245584
152	0.2501366962
153	0.2497503307
154	0.2492663531
155	0.2487708685
156	0.2484465213
157	0.2482718236
158	0.2480276635
159	0.2477219337
160	0.2476113272
161	0.2473092687
162	0.2470281555
163	0.246846108
164	0.2464822394
165	0.2460715441
166	0.2456635072
167	0.245202145
168	0.2448895906
